GL-000024	NSCLC SOC Genes 9	ALK BRAF EGFR ERBB2 KRAS MET PIK3CA RET ROS1
GL-000100	Mowat Wilson syndrome, multiple epiphyseal dysplasia, Al-Gazali-Bakalinova syndrome and all neurological disorders_CE 839	AAAS AARS AARS2 ABCB7 ABCC2 ABCC8 ABCC9 ABCD1 ABHD12 ACOX1 ACSL4 ACTA1 ACTB ACTG1 ADAR ADCK3 ADCY5 ADNP ADRA2B ADSL AFF2 AFG3L2 AGTR2 AHI1 AIFM1 AIMP1 AKT1 AKT3 ALDH18A1 ALDH7A1 ALG12 ALS2 AMT ANG ANK3 ANKRD11 ANO10 ANO5 AP1S1 AP1S2 AP4B1 AP4E1 AP4M1 AP4S1 AP5Z1 APEX1 APOA1 APTX ARFGEF2 ARHGEF10 ARHGEF6 ARID1A ARID1B ARL13B ARSA ARSB ASAH1 ASNS ASPA ASPM ATCAY ATL1 ATM ATN1 ATP13A2 ATP1A2 ATP1A3 ATP2A1 ATP2B4 ATP6AP2 ATP7A ATP7B ATP8A2 ATR ATRX ATXN1 ATXN10 ATXN3 ATXN7 AUH AUTS2 AVPR1A B3GNT1 B9D1 B9D2 BAG3 BANF1 BCAP31 BCOR BCS1L BEAN1 BIN1 BRAF BRAT1 BRWD3 BSCL2 BUB1B C10ORF2 C12ORF65 C19ORF12 C9ORF72 CA8 CACNA1A CACNA1C CACNA1F CACNA1G CACNA1H CACNB4 CACNG2 CAMTA1 CAPN3 CASC5 CASK CASR CAV3 CBL CC2D1A CC2D2A CCDC88C CCT5 CD59 CDC6 CDH13 CDH15 CDK5RAP2 CDKL5 CDT1 CENPJ CEP135 CEP152 CEP290 CEP41 CEP63 CFL2 CHD2 CHD8 CHKB CHMP2B CHRNA7 CHRNB2 CLCN1 CLCN2 CLCN7 CLIC2 CLN3 CLN5 CLN6 CLN8 CNBP CNTN1 CNTN4 CNTNAP2 COL12A1 COL2A1 COL4A1 COL4A2 COL6A1 COL6A2 COL6A3 COL9A1 COL9A2 COL9A3 COMP COQ2 COQ9 COX10 COX15 CP CPA6 CREBBP CRH CRYAB CRYM CSTB CTC1 CTDP1 CTNNB1 CTSD CUL4B CYP27A1 CYP7B1 D2HGDH DAG1 DAO DARS2 DCAF17 DCTN1 DCX DEAF1 DES DFNB59 DHCR7 DHH DIAPH1 DIAPH3 DKC1 DLG3 DLGAP2 DMD DMPK DNAJB2 DNAJB6 DNAJC19 DNAJC5 DNM1 DNM1L DNM2 DNMT1 DOCK4 DOCK8 DPM1 DPM3 DPP10 DPP6 DRD2 DRD5 DST DYNC1H1 DYRK1A DYSF EFHC1 EFHC2 EFTUD2 EGR2 EHMT1 EIF2AK3 EIF2B1 EIF2B2 EIF2B3 EIF2B4 EIF2B5 EIF4E ELK1 ELOVL4 EMD EMG1 EMX2 EN2 ENTPD1 EOMES EPB41L1 ERBB4 ERCC2 ERCC4 ERCC6 ERCC8 ERLIN2 ESCO2 EXOSC3 EZH2 FA2H FAM126A FAM134B FASTKD2 FBLN5 FGD1 FGD4 FGF14 FGF8 FGFR3 FHL1 FIG4 FKBP10 FKBP14 FKRP FKTN FLNA FLNC FLVCR1 FMN2 FMR1 FOLR1 FOXP1 FOXP2 FOXRED1 FRG1 FTL FTSJ1 FUS FXN GAA GABBR1 GABRA1 GABRA5 GABRA6 GABRB3 GABRD GABRG1 GABRG2 GABRG3 GAD1 GALC GALNS GAN GARS GATM GBA GBE1 GCDH GCH1 GDAP1 GDI1 GFAP GFER GJB1 GJB3 GLA GLB1 GLDC GLE1 GLI2 GLI3 GLO1 GNE GNS GOSR2 GPC3 GPC4 GPHN GPR56 GPSM2 GRIA3 GRIK2 GRIN1 GRIN2A GRIN2B GRM1 GRN GRPR GSN GUSB HADHB HARS HCCS HCN1 HDAC8 HEPACAM HERC2 HESX1 HGSNAT HK1 HNRNPU HOXA1 HOXD10 HPRT1 HRAS HSD17B10 HSPB1 HSPB3 HSPB8 HSPD1 HSPG2 HTR2A HUWE1 IDH2 IDS IDUA IER3IP1 IFIH1 IFRD1 IGBP1 IGF1R IGHMBP2 IKBKAP IL1RAPL1 IL6 IMMP2L INF2 INPP5E IQSEC2 ISCU ISPD ITGA7 ITGB3 ITPR1 ITPR3 JRK KARS KAT6B KATNAL2 KBTBD13 KCNA1 KCND2 KCNH2 KCNJ10 KCNJ2 KCNK9 KCNMA1 KCNQ2 KCNQ3 KCNV2 KCTD13 KCTD7 KDM5C KIAA0196 KIAA0226 KIAA1033 KIAA2022 KIF11 KIF1A KIF1B KIF5A KIF7 KIRREL3 KLHL3 KLHL9 KRAS L1CAM L2HGDH LAMA1 LAMA2 LAMB1 LAMC3 LAMP2 LARGE LDB3 LGI1 LIAS LITAF LMNA LMNB1 LRSAM1 LUM MAGT1 MAN1B1 MAOA MAP2K1 MAP2K2 MARS2 MATR3 MBD1 MBD5 MBTPS2 MCM3AP MCPH1 MECP2 MED12 MED17 MED23 MED25 MEF2C MEGF10 MET MFN2 MFSD2A MFSD8 MID1 MKS1 MLC1 MOCS1 MOCS2 MPZ MRE11A MSMO1 MSX2 MTFMT MTHFR MTM1 MTMR14 MTMR2 MTPAP MTTP MYF6 MYH14 MYH2 MYH7 MYOT NAGLU NBN NDE1 NDP NDRG1 NDST1 NDUFA10 NDUFA12 NDUFA2 NDUFA9 NDUFAF2 NDUFAF5 NDUFAF6 NDUFS1 NDUFS3 NDUFS4 NDUFS7 NDUFS8 NEB NEDD4L NEFH NEFL NEGR1 NFIX NGF NHEJ1 NHLRC1 NHS NIPBL NKX2 NLGN3 NLGN4X NODAL NOP56 NPC1 NPC2 NPHP1 NR2E1 NRXN1 NRXN2 NRXN3 NSD1 NSDHL NSUN2 NTNG1 NTRK1 NUBPL NXF5 OCRL OFD1 OPA1 OPA3 OPHN1 OPTN ORAI1 ORC1 ORC4 ORC6 OTC OTOF OTX2 PABPN1 PAFAH1B1 PAK3 PANK2 PARK2 PARK7 PAX6 PCDH19 PCDH9 PCDHB4 PCNT PDE10A PDGFB PDHA1 PDHX PDSS2 PDYN PEX1 PEX10 PEX12 PEX16 PEX2 PEX5 PEX6 PEX7 PFN1 PGK1 PHF6 PHF8 PHGDH PHKA1 PHYH PIGA PIGN PIGO PIGV PIK3CA PIK3R5 PIP5K1B PLA2G6 PLCB1 PLEC PLEKHG4 PLEKHG5 PLP1 PMM2 PMP22 PNKD PNKP PNPLA2 PNPLA6 PNPO POGZ POLG POLR1C POLR3A POLR3B POMGNT1 POMGNT2 POMT1 POMT2 PON1 PON2 PON3 PORCN PPP1R3C PPP2R1A PPP2R2B PPT1 PQBP1 PRF1 PRICKLE1 PRICKLE2 PRKCG PRKRA PRPH PRPS1 PRRT2 PRSS12 PRX PSAP PSEN1 PTCH1 PTCH2 PTCHD1 PTEN PUS1 PYGM RAB18 RAB39B RAB3GAP1 RAB3GAP2 RAB40AL RAB7A RAD21 RAI1 RARS2 RBBP8 RBFOX1 REEP1 RELN RIN2 RNASEH2A RNASEH2B RNASEH2C RNF135 RNF170 ROGDI ROR2 RPGRIP1L RPIA RPL10 RPS6KA3 RTN2 RYR1 SACS SAMHD1 SATB2 SBF2 SCARB2 SCN10A SCN1A SCN1B SCN2A SCN3A SCN4A SCN5A SCN8A SCN9A SCP2 SDHA SDHB SEPN1 SEPSECS SERPINI1 SETX SGCA SGCB SGCD SGCG SGSH SH3TC2 SHANK2 SHROOM4 SIGMAR1 SIL1 SIX3 SLC12A6 SLC16A1 SLC16A2 SLC1A3 SLC25A12 SLC25A19 SLC25A22 SLC26A2 SLC2A1 SLC30A10 SLC33A1 SLC5A7 SLC6A1 SLC6A3 SLC6A4 SLC9A6 SLC9A9 SMARCA2 SMARCA4 SMARCB1 SMARCE1 SMC1A SMC3 SMN1 SMN2 SMS SNAP29 SNIP1 SNRPN SNX10 SNX3 SOD1 SOX10 SOX2 SOX5 SPAST SPECC1L SPG11 SPG20 SPG21 SPG7 SPR SPTAN1 SPTBN2 SPTLC1 SPTLC2 SQSTM1 SRD5A3 SRPX2 ST3GAL3 ST3GAL5 ST7 STIL STIM1 STRADA STXBP1 SUCLA2 SUFU SUN2 SURF1 SYNE1 SYNE2 SYNGAP1 SYP SYT14 SYT2 TAF1 TAF15 TAF2 TARDBP TAZ TBC1D24 TBK1 TCAP TCF4 TCIRG1 TCTN1 TCTN2 TDGF1 TDP1 TECR TERT TGM6 TH THAP1 TIMM8A TINF2 TMEM138 TMEM216 TMEM237 TMEM43 TMEM67 TMLHE TNNT1 TOR1A TPM2 TPM3 TPP1 TRAPPC9 TREX1 TRIM32 TRPC3 TRPM2 TRPM7 TRPV4 TSC1 TSC2 TSEN2 TSEN34 TSEN54 TSFM TSPAN7 TTBK2 TTC19 TTI2 TTN TTPA TTR TUBA1A TUBA8 TUBB2B TUBB3 TUBGCP4 TUBGCP6 TUSC3 TYMP UBA1 UBE2A UBE3A UBQLN2 UPF3B USP9X VAPB VCP VLDLR VPS13A VPS13B VRK1 WDR45 WDR62 WDR81 WFS1 WHSC1 WNK1 WWOX XK YARS YARS2 YWHAE ZCCHC12 ZDHHC15 ZDHHC9 ZEB2 ZFYVE26 ZFYVE27 ZIC1 ZMYND11 ZNF41 ZNF507 ZNF592 ZNF674 ZNF711 ZNF804A ZNF81
GL-000101	Adrenal hyperplasia and polycystic kidney disease_CE 14	CYP11A1 CYP11B1 CYP17A1 CYP21A2 GNAS HSD3B2 MKS1 MUC1 PKD1 PKD2 PKHD1 POR STAR TSC2
GL-000102	Nemaline myopathy_RD 1	NEB
GL-000104	Hereditary gastrointestinal cancer, endocrine cancer and rare cancer predisposition test 75	AIP APC ATM BLM BMPR1A BRCA1 BRCA2 BUB1B CDC73 CDH1 CDKN2A CEP57 CHEK2 CYLD DDB2 DIS3L2 EGFR EPCAM ERCC2 ERCC3 ERCC4 ERCC5 EXT1 EXT2 EZH2 FANCA FANCB FANCC FANCD2 FANCE FANCF FANCG FANCI FANCL FANCM FH FLCN GPC3 HNF1A HRAS KIT MAX MEN1 MET MLH1 MSH2 MSH6 MUTYH NF1 NF2 NSD1 PALB2 PMS1 PMS2 PRF1 PRKAR1A PTCH1 PTEN RB1 RECQL4 RET SBDS SDHAF2 SDHB SDHC SDHD SLX4 SMAD4 SMARCB1 STK11 TP53 VHL WRN XPA XPC
GL-000106	Hereditary gynecological cancer and inherited cancer syndrome predisposition test 31	APC ATM BMPR1A BRCA1 BRCA2 BRIP1 CDH1 CHEK2 EPCAM MEN1 MLH1 MSH2 MSH6 NBN NF1 NF2 PALB2 PMS2 PTEN RAD51C RAD51D RET SDHB SDHD SMAD4 STK11 TP53 TSC1 TSC2 VHL WT1
GL-000109	Cornelia de Lange syndrome_CE 5	HDAC8 NIPBL RAD21 SMC1A SMC3
GL-000113	Surfactant metabolism dysfunction and CFTR gene 12	ABCA3 ACADM CFTR CSF2RA CSF2RA CSF2RB SFTPA1 SFTPA2 SFTPB SFTPC SFTPD SLC34A2
GL-000118	Hereditary cancer predisposition test (ACMG genes) 23	APC BRCA1 BRCA2 MEN1 MLH1 MSH2 MSH6 MUTYH NF2 PMS2 PTEN RB1 RET SDHAF2 SDHB SDHC SDHD STK11 TP53 TSC1 TSC2 VHL WT1
GL-000121	Eye disorders_CE_to be suspended 166	ABCA4 ABHD12 ADAM9 AIPL1 ARL6 ARMS2 BBS1 BBS10 BBS12 BBS2 BBS4 BBS5 BBS7 BBS9 BEST1 C1QTNF5 C2 C2ORF71 C3 CA4 CABP4 CACNA1F CACNA2D4 CCDC28B CCL2 CCR2 CCR3 CDH23 CDHR1 CEP290 CERKL CFB CFH CHM CIB2 CLRN1 CNGA1 CNGA3 CNGB1 CNGB3 CNNM4 CRB1 CRX CYP1B1 DCN DFNB31 DHDDS EFEMP1 ELOVL4 EYS FAM161A FSCN2 GNAT1 GNAT2 GPR179 GPR98 GRK1 GRM6 GUCA1A GUCA1B GUCY2D HARS HMCN1 HTRA1 IDH3B IMPDH1 IMPG2 INPP5E IQCB1 KCNJ13 KCNV2 KDR KIF7 KLHL7 KRT12 KRT3 LCA5 LOXL1 LRAT LRP5 LTBP2 LZTFL1 MAK MERTK MFN2 MKKS MKS1 MYO7A MYOC NDP NEB NMNAT1 NR2E3 NRL OAT OPA1 OPN1LW OPN1MW OPTC OPTN OTX2 PCDH15 PDE6A PDE6B PDE6C PDE6G PDE6H PDZD7 PIKFYVE PITPNM3 PRCD PRKCG PROM1 PRPF3 PRPF31 PRPF6 PRPF8 PRPH2 RAB28 RAX2 RB1 RBP3 RD3 RDH12 RDH5 RGR RHO RIMS1 RLBP1 ROM1 RP1 RP2 RP9 RPE65 RPGR RPGRIP1 RPGRIP1L RS1 SAG SDCCAG8 SEMA4A SLC24A1 SLC4A11 SNRNP200 SPATA7 TEAD1 TGFBI TIMM8A TIMP3 TMEM126A TMEM67 TOPORS TRIM32 TRPM1 TSPAN12 TTC8 TULP1 USH1C USH1G USH2A VCAN VEGFA WDPCP WDR36 ZEB1 ZNF513
GL-000122	All cardio-v2_CE 181	ABCA1 ABCB1 ABCC6 ABCC9 ABCG5 ABCG8 ACE ACTC1 ACTN2 ADCYAP1 ADD1 ADH1B ADIPOQ ADRA2B AGT AGTR1 AGTR2 AKAP9 ANK2 ANK3 ANKRD1 ANXA5 APOA1 APOA2 APOA5 APOB APOC3 APOE BAG3 BMP10 CACNA1C CACNA1D CACNA2D1 CACNB2 CALM1 CALR3 CASQ2 CAV3 CCL2 CHRM2 COG6 COX15 CRYAB CSRP3 CTLA4 CYBA CYP2C19 CYP2C9 CYP3A5 CYP7A1 DES DMD DNAJC19 DPP6 DSC2 DSG2 DSP DTNA EMD EPHX2 EYA4 F13A1 F2 F5 F7 F9 FGB FKTN FLT1 FOXD4 FXN GHR GJA1 GJA5 GLA GP1BA GPD1L IL1RN IL6 ILK ITGB3 JUP KCNA5 KCND3 KCNE1 KCNE1L KCNE2 KCNE3 KCNH2 KCNJ11 KCNJ2 KCNJ5 KCNJ8 KCNQ1 LAMA2 LAMA4 LAMP2 LDB3 LDLR LDLRAP1 LIPC LMNA LPL LRP1 LRP8 MEF2A MPO MTHFR MTRR MURC MYBPC3 MYH6 MYH7 MYL2 MYL3 MYLK2 MYO6 MYOM1 MYOZ2 MYPN NDUFAF1 NEBL NEXN NKX2 NOS1AP NOS3 NPPA NUP155 OBSCN P2RY12 PCSK9 PDLIM3 PKP2 PLN PON1 PPARA PRKAG2 PSEN1 PSEN2 RAF1 RANGRF RBM20 ROCK1 ROCK2 RYR2 SCN1B SCN2B SCN3B SCN4B SCN5A SDHA SELE SELP SGCD SLC25A4 SREBF2 SRI SYNE1 TAZ TBX3 TCAP TCF21 TGFB3 THBS1 THBS2 THBS4 THPO TMEM43 TMPO TNNC1 TNNI3 TNNT2 TPM1 TRDN TRPM4 TTN TTR TXNRD2 VCL VKORC1 VPS13A
GL-000123	Inherited bone disorders_CE 240	ACADM ACP5 ACVR1 ADAMTSL2 AGA AGPS AIRE ALPL ALX4 AMER1 ANKH ANO5 ANTXR2 ARSB ARSE ATP6V0A2 B4GALT7 BMP1 BMP2 BMPER BMPR1B CA2 CANT1 CASR CC2D2A CDC73 CDH3 CDKN1B CEP290 CHST14 CHST3 CLCN5 CLCN7 COG1 COL10A1 COL11A1 COL11A2 COL1A1 COL1A2 COL2A1 COL9A1 COL9A2 COL9A3 COMP CREBBP CRTAP CTSA CTSK CUL7 CYP27B1 CYP2R1 DDR2 DHCR24 DHODH DLL3 DLX3 DMP1 DYM DYNC2H1 EBP EFNB1 EIF2AK3 ENPP1 EP300 ESCO2 EVC EVC2 EXT1 EXT2 FAM20C FAM58A FBLN1 FBN1 FBN2 FBXW4 FERMT3 FGF10 FGF23 FGF9 FGFR1 FGFR2 FGFR3 FKBP10 FLNA FLNB FUCA1 GALNS GALNT3 GATA3 GCM2 GDF5 GJA1 GLB1 GLI3 GNAS GNPAT GNPTAB GNPTG GNS GORAB GPC6 GREM1 GUSB HADHA HADHB HDAC4 HES7 HGSNAT HOXA11 HPGD HSPG2 ICK IDH2 IDS IDUA IFITM5 IFT122 IFT80 IHH IKBKG IL1RN KIF22 KL LBR LEPRE1 LIFR LMBR1 LMNA LMX1B LPIN2 LRP4 LRP5 MAN2B1 MEN1 MESP2 MGP MKS1 MMP13 MMP14 MMP2 MMP9 MSX2 NAGLU NEK1 NEU1 NF1 NIPBL NKX3 NLRP3 NOG NOTCH2 NPPC NPR2 NSD1 NSDHL OBSL1 OFD1 OSTM1 PAPSS2 PCNT PDE4D PEX7 PHEX PIGO PIGV PITX1 PLEKHM1 PLOD2 POLR1C POLR1D POR PORCN PPIB PRKAR1A PTH PTH1R PTHLH PTPN11 PYCR1 RAB23 RECQL4 RET ROR2 RPGRIP1L SALL1 SAMD9 SBDS SERPINF1 SERPINH1 SGSH SH3BP2 SH3PXD2B SHOX SHOX SLC17A5 SLC26A2 SLC34A1 SLC34A3 SLC35D1 SLC39A13 SLC9A3R1 SMARCAL1 SNX10 SOST SOX9 SP7 SQSTM1 STX16 SULF1 SUMF1 TBCE TBX15 TBX3 TBX4 TBX5 TBXAS1 TCIRG1 TCOF1 TGFB1 TGFBR1 TGFBR2 THPO TK2 TMEM67 TNFRSF11A TNFRSF11B TNFSF11 TP63 TRAPPC2 TRIP11 TRPS1 TRPV4 TYROBP VCP VDR WDR35 WISP3 WNT3 WNT7A ZMPSTE24
GL-000125	HMG-CoA deficiency and neurological disorders_CE 835	AAAS AARS AARS2 ABCB7 ABCC8 ABCC9 ABCD1 ABHD12 ACOX1 ACSL4 ACTA1 ACTB ACTG1 ADAR ADCK3 ADCY5 ADNP ADRA2B ADSL AFF2 AFG3L2 AGTR2 AHI1 AIFM1 AIMP1 AKT3 ALDH18A1 ALDH7A1 ALG12 ALS2 AMT ANG ANK3 ANKRD11 ANO10 ANO5 AP1S1 AP1S2 AP4B1 AP4E1 AP4M1 AP4S1 AP5Z1 APEX1 APOA1 APTX ARFGEF2 ARHGEF10 ARHGEF6 ARID1A ARID1B ARL13B ARSA ARSB ASAH1 ASNS ASPA ASPM ATCAY ATL1 ATM ATN1 ATP13A2 ATP1A2 ATP1A3 ATP2A1 ATP2B4 ATP6AP2 ATP7A ATP7B ATP8A2 ATR ATRX ATXN1 ATXN10 ATXN3 ATXN7 AUH AUTS2 AVPR1A B3GNT1 B9D1 B9D2 BAG3 BANF1 BCAP31 BCOR BCS1L BEAN1 BIN1 BRAF BRAT1 BRWD3 BSCL2 BUB1B C10ORF2 C12ORF65 C19ORF12 C9ORF72 CA8 CACNA1A CACNA1C CACNA1F CACNA1G CACNA1H CACNB4 CACNG2 CAMTA1 CAPN3 CASC5 CASK CASR CAV3 CBL CC2D1A CC2D2A CCDC88C CCT5 CD59 CDC6 CDH13 CDH15 CDK5RAP2 CDKL5 CDT1 CENPJ CEP135 CEP152 CEP290 CEP41 CEP63 CFL2 CHD2 CHD8 CHGB CHKB CHMP2B CHRNA7 CHRNB2 CLCN1 CLCN2 CLIC2 CLN3 CLN5 CLN6 CLN8 CNBP CNTN1 CNTN4 CNTNAP2 COL12A1 COL4A1 COL4A2 COL6A1 COL6A2 COL6A3 COQ2 COQ9 COX10 COX15 CP CPA6 CREBBP CRH CRYAB CRYM CSTB CTC1 CTDP1 CTNNB1 CTSD CUL4B CYP27A1 CYP7B1 D2HGDH DAG1 DAO DARS2 DCAF17 DCTN1 DCX DEAF1 DES DFNB59 DHCR7 DHH DIAPH1 DIAPH3 DISP1 DKC1 DLG3 DLGAP2 DMD DMPK DNAJB2 DNAJB6 DNAJC19 DNAJC5 DNM1 DNM1L DNM2 DNMT1 DOCK4 DOCK8 DPM1 DPM3 DPP10 DPP6 DRD2 DRD5 DST DYNC1H1 DYRK1A DYSF EFHC1 EFHC2 EFTUD2 EGR2 EHMT1 EIF2B1 EIF2B2 EIF2B3 EIF2B4 EIF2B5 EIF4E ELK1 ELOVL4 EMD EMG1 EMX2 ENTPD1 EOMES EPB41L1 ERBB4 ERCC2 ERCC4 ERCC6 ERCC8 ERLIN2 ESCO2 EXOSC3 EZH2 FA2H FAM126A FAM134B FASTKD2 FBLN5 FGD1 FGD4 FGF14 FGF8 FGFR3 FHL1 FIG4 FKBP10 FKBP14 FKRP FKTN FLNA FLNC FLVCR1 FLVCR2 FMN2 FMR1 FOLR1 FOXP1 FOXP2 FOXRED1 FRG1 FTL FTSJ1 FUS FXN GAA GABBR1 GABRA1 GABRA5 GABRA6 GABRB3 GABRD GABRG1 GABRG2 GABRG3 GAD1 GALC GALNS GAN GARS GATM GBA GBE1 GCDH GCH1 GCSH GDAP1 GDI1 GFAP GFER GJB1 GJB3 GLA GLB1 GLDC GLE1 GLI2 GLI3 GLO1 GNE GNS GOSR2 GPC3 GPC4 GPHN GPR56 GPSM2 GRIA3 GRIK2 GRIN1 GRIN2A GRIN2B GRM1 GRN GRPR GSN GUSB HADHB HARS HCCS HCN1 HDAC8 HEPACAM HERC2 HESX1 HGSNAT HK1 HMGCL HMGCS2 HNRNPU HOXA1 HOXD10 HPRT1 HRAS HSD17B10 HSPB1 HSPB3 HSPB8 HSPD1 HSPG2 HTR2A HUWE1 IDH2 IDS IDUA IER3IP1 IFIH1 IFRD1 IGBP1 IGF1R IGHMBP2 IKBKAP IL1RAPL1 IL6 IMMP2L INF2 INPP5E IQSEC2 ISCU ISPD ITGA7 ITGB3 ITPR1 ITPR3 JRK KARS KAT6B KATNAL2 KBTBD13 KCNA1 KCND2 KCNH2 KCNJ10 KCNJ2 KCNK9 KCNMA1 KCNQ2 KCNQ3 KCNV2 KCTD13 KCTD7 KDM5C KIAA0196 KIAA0226 KIAA1033 KIAA2022 KIF11 KIF1A KIF1B KIF5A KIF7 KIRREL3 KLHL3 KLHL9 KRAS L1CAM L2HGDH LAMA1 LAMA2 LAMB1 LAMC3 LAMP2 LARGE LDB3 LGI1 LIAS LITAF LMNA LMNB1 LRSAM1 LUM MAGT1 MAN1B1 MAOA MAP2K1 MAP2K2 MARS2 MATR3 MBD1 MBD5 MBTPS2 MCM3AP MCPH1 MECP2 MED12 MED17 MED23 MED25 MEF2C MEGF10 MET MFN2 MFSD2A MFSD8 MID1 MKS1 MLC1 MOCS1 MOCS2 MPZ MRE11A MSMO1 MSX2 MTFMT MTHFR MTM1 MTMR14 MTMR2 MTPAP MTTP MYF6 MYH14 MYH2 MYH7 MYOT NAGLU NBN NDE1 NDP NDRG1 NDST1 NDUFA10 NDUFA12 NDUFA2 NDUFA9 NDUFAF2 NDUFAF5 NDUFAF6 NDUFS1 NDUFS3 NDUFS4 NDUFS7 NDUFS8 NEB NEDD4L NEFH NEFL NEGR1 NGF NHEJ1 NHLRC1 NHS NIPBL NKX2 NLGN3 NLGN4X NODAL NOP56 NPC1 NPC2 NPHP1 NR2E1 NRXN1 NRXN2 NRXN3 NSD1 NSDHL NSUN2 NTNG1 NTRK1 NUBPL NXF5 OCLN OCRL OFD1 OPA1 OPA3 OPHN1 OPTN ORAI1 ORC1 ORC4 ORC6 OTC OTOF OTX2 PABPN1 PAFAH1B1 PAK3 PANK2 PARK2 PARK7 PAX6 PCDH19 PCDH9 PCDHB4 PCNT PDE10A PDGFB PDHA1 PDHX PDSS2 PDYN PEX1 PEX10 PEX12 PEX16 PEX2 PEX5 PEX6 PEX7 PFN1 PGK1 PHF6 PHF8 PHGDH PHKA1 PHYH PIGA PIGN PIGO PIGV PIK3CA PIK3R5 PIP5K1B PLA2G6 PLCB1 PLEC PLEKHG4 PLEKHG5 PLP1 PMM2 PMP22 PNKD PNKP PNPLA2 PNPLA6 PNPO POGZ POLG POLR1C POLR3A POLR3B POMGNT1 POMGNT2 POMT1 POMT2 PON1 PON2 PON3 PORCN PPP1R3C PPP2R1A PPP2R2B PPT1 PQBP1 PRF1 PRICKLE1 PRICKLE2 PRKCG PRKRA PRPH PRPS1 PRRT2 PRSS12 PRX PSAP PSEN1 PTCH1 PTCH2 PTCHD1 PTEN PUS1 PYGM RAB18 RAB39B RAB3GAP1 RAB3GAP2 RAB40AL RAB7A RAD21 RAI1 RARS2 RBBP8 RBFOX1 REEP1 RELN RIN2 RNASEH2A RNASEH2B RNASEH2C RNF135 RNF170 ROGDI ROR2 RPGRIP1L RPIA RPL10 RPS6KA3 RTN2 RYR1 SACS SAMHD1 SATB2 SBF2 SCARB2 SCN10A SCN1A SCN1B SCN2A SCN3A SCN4A SCN5A SCN8A SCN9A SCP2 SDHA SDHB SEPN1 SEPSECS SERPINI1 SETBP1 SETX SGCA SGCB SGCD SGCG SGSH SH3TC2 SHANK2 SHROOM4 SIGMAR1 SIL1 SIX3 SLC12A6 SLC16A1 SLC16A2 SLC1A3 SLC25A12 SLC25A19 SLC25A22 SLC2A1 SLC30A10 SLC33A1 SLC5A7 SLC6A1 SLC6A3 SLC6A4 SLC9A6 SLC9A9 SMARCA2 SMARCA4 SMARCB1 SMARCE1 SMC1A SMC3 SMN1 SMN2 SMS SNAP29 SNIP1 SNRPN SNX10 SNX3 SOD1 SOX10 SOX2 SOX5 SPAST SPECC1L SPG11 SPG20 SPG21 SPG7 SPR SPTAN1 SPTBN2 SPTLC1 SPTLC2 SQSTM1 SRD5A3 SRPX2 ST3GAL3 ST3GAL5 ST7 STIL STIM1 STRADA STXBP1 SUCLA2 SUFU SUN2 SURF1 SYNE1 SYNE2 SYNGAP1 SYP SYT14 SYT2 TAF1 TAF15 TAF2 TARDBP TAZ TBC1D24 TBK1 TCAP TCF4 TCIRG1 TCTN1 TCTN2 TDGF1 TDP1 TECR TERT TGM6 TH THAP1 TIMM8A TINF2 TMEM138 TMEM216 TMEM237 TMEM43 TMEM67 TMLHE TNNT1 TOR1A TPM2 TPM3 TPP1 TRAPPC9 TREX1 TRIM32 TRPC3 TRPM2 TRPM7 TRPV4 TSC1 TSC2 TSEN2 TSEN34 TSEN54 TSFM TSPAN7 TTBK2 TTC19 TTI2 TTN TTPA TTR TUBA1A TUBA8 TUBB2B TUBB3 TUBGCP4 TUBGCP6 TUSC3 TYMP UBA1 UBE2A UBE3A UBQLN2 UPF3B USP9X VAPB VCP VLDLR VPS13A VPS13B VRK1 WDR45 WDR62 WDR81 WFS1 WHSC1 WNK1 WWOX XK YARS YARS2 YWHAE ZCCHC12 ZDHHC15 ZDHHC9 ZEB2 ZFYVE26 ZFYVE27 ZIC1 ZMYND11 ZNF41 ZNF507 ZNF592 ZNF674 ZNF711 ZNF804A ZNF81
GL-000126	test 2	ABCA4 WT1
GL-000127	ACMG genes list 56	ACTA2 ACTC1 APC APOB BRCA1 BRCA2 CACNA1S COL3A1 DSC2 DSG2 DSP FBN1 GLA KCNH2 KCNQ1 LDLR LMNA MEN1 MLH1 MSH2 MSH6 MUTYH MYBPC3 MYH11 MYH7 MYL2 MYL3 MYLK NF2 PCSK9 PKP2 PMS2 PRKAG2 PTEN RB1 RET RYR1 RYR2 SCN5A SDHAF2 SDHB SDHC SDHD SMAD3 STK11 TGFBR1 TGFBR2 TMEM43 TNNI3 TNNT2 TP53 TPM1 TSC1 TSC2 VHL WT1
GL-000128	Hereditary rare cancers predisposition test 46	BLM BUB1B CDKN2A CEP57 CYLD DDB2 DIS3L2 EGFR ERCC2 ERCC3 ERCC4 ERCC5 EXT1 EXT2 EZH2 FANCA FANCB FANCC FANCD2 FANCE FANCF FANCG FANCI FANCL FANCM FH FLCN GPC3 HNF1A HRAS MAX NF1 NF2 NSD1 PMS1 PRF1 PRKAR1A PTCH1 RB1 RECQL4 SBDS SLX4 SMARCB1 WRN XPA XPC
GL-000129	Hereditary breast, ovarian and gynecological cancer predisposition test 18	ATM BRCA1 BRCA2 BRIP1 CDH1 CHEK2 EPCAM MLH1 MSH2 MSH6 NBN PALB2 PMS2 PTEN RAD51C RAD51D STK11 TP53
